codigo_ibge,municipio,populacao,ano
1507979,TERRA SANTA - PA,19792,2025
1508001,TOMÉ-AÇU - PA,73058,2025
1508035,TRACUATEUA - PA,30494,2025
1508050,TRAIRÃO - PA,15550,2025
1508084,TUCUMÃ - PA,42883,2025
1508100,TUCURUÍ - PA,96119,2025
1508126,ULIANÓPOLIS - PA,39360,2025
1508159,URUARÁ - PA,45962,2025
1508209,VIGIA - PA,54062,2025
1508308,VISEU - PA,62189,2025
1508357,VITÓRIA DO XINGU - PA,16552,2025
1508407,XINGUARA - PA,57768,2025
1600055,SERRA DO NAVIO - AP,5003,2025
1600105,AMAPÁ - AP,8440,2025
1600154,PEDRA BRANCA DO AMAPARI - AP,13888,2025
1600204,CALÇOENE - AP,11461,2025
1600212,CUTIAS - AP,4723,2025
1600238,FERREIRA GOMES - AP,7184,2025
1600253,ITAUBAL - AP,6097,2025
1600279,LARANJAL DO JARI - AP,37872,2025
1600303,MACAPÁ - AP,489676,2025
1600402,MAZAGÃO - AP,23773,2025
1600501,OIAPOQUE - AP,30786,2025
1600535,PORTO GRANDE - AP,19048,2025
1600550,PRACUÚBA - AP,4048,2025
1600600,SANTANA - AP,118803,2025
1600709,TARTARUGALZINHO - AP,13816,2025
1600808,VITÓRIA DO JARI - AP,11899,2025
1700251,ABREULÂNDIA - TO,2682,2025
1700301,AGUIARNÓPOLIS - TO,4502,2025
1700350,ALIANÇA DO TOCANTINS - TO,5196,2025
1700400,ALMAS - TO,6483,2025
1700707,ALVORADA - TO,9128,2025
1701002,ANANÁS - TO,10700,2025
1701051,ANGICO - TO,2903,2025
1701101,APARECIDA DO RIO NEGRO - TO,5110,2025
1701309,ARAGOMINAS - TO,5330,2025
1701903,ARAGUACEMA - TO,6022,2025
1702000,ARAGUAÇU - TO,8242,2025
1702109,ARAGUAÍNA - TO,183024,2025
1702158,ARAGUANÃ - TO,4300,2025
1702208,ARAGUATINS - TO,33286,2025
1702307,ARAPOEMA - TO,5488,2025
1702406,ARRAIAS - TO,10511,2025
1702554,AUGUSTINÓPOLIS - TO,18237,2025
1702703,AURORA DO TOCANTINS - TO,3418,2025
